"Number","Description","Date","URL"
"126","Governor Murphy Signs Executive Order Prohibiting Cable and Telecommunications Providers from Terminating Internet and Voice Service",2020-04-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-126.pdf"
"125","Governor Murphy Signs Executive Order to Implement Additional Mitigation Requirements on NJ TRANSIT, Private Carriers, and Restaurants to Limit the Spread of COVID-19",2020-04-11,"https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf"
"124","Governor Murphy Signs Executive Order to Establish a Process to Grant Temporary Reprieve to Certain At-Risk Inmates",2020-04-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-124.pdf"
"123","Governor Murphy Signs Executive Order Extending Insurance Premium Grace Periods",2020-04-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-123.pdf"
"122","Governor Murphy Signs Executive Order to Cease All Non-Essential Construction Projects and Imposes Additional Mitigation Requirements on Essential Retail Businesses and Industries to Limit the Spread of COVID-19",2020-04-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-122.pdf"
"121","Governor Murphy Signs Executive Order Allowing Greater Weight Limit for Vehicles Carrying COVID-19 Relief Supplies",2020-04-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-121.pdf"
"120","Governor Murphy Announces Postponement of June 2nd Primary Elections until July 7th",2020-04-08,"https://nj.gov/infobank/eo/056murphy/pdf/EO-120.pdf"
"119","Governor Murphy Signs Executive Order Extending Public Health Emergency in New Jersey",2020-04-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-119.pdf"
"118","Governor Murphy Signs Executive Order Closing State and County Parks to Further Social Distancing",2020-04-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-118.pdf"
"117","Governor Murphy Signs Executive Order Waiving Student Assessment Requirements for 2019-2020 School Year",2020-04-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-117.pdf"
"116","Governor Murphy Signs Executive Order Extending Statutory Deadlines for School Districts Whose Elections Were Moved from April to May",2020-04-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-116.pdf"
"115","Governor Murphy Signs Executive Order to Strengthen COVID-19 Response Efforts by Allowing Certain Retirees to Return to Public Employment",2020-04-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-115.pdf"
"114","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff Indefinitely in Honor of Those Who Have Lost Their Lives or Have Been Affected by COVID-19",2020-04-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-114.pdf"
"113","Governor Murphy Signs Executive Order Authorizing Commandeering of Property Such as Medical Supplies",2020-04-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-113.pdf"
"112","Governor Murphy Signs Executive Order to Remove Barriers to Health Care Professionals Joining New Jersey's COVID-19 Response and Provide Protections for Front Line Health Care Responders",2020-04-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-112.pdf"
"111","Governor Murphy Signs Executive Order Directing Health Care Facilities to Report Data, Including PPE Inventory and Bed Capacity, On a Daily Basis",2020-03-28,"https://nj.gov/infobank/eo/056murphy/pdf/EO-111.pdf"
"110","Governor Murphy Signs Executive Order Requiring Child Care Centers Close on April 1 Unless Serving Children of Essential Workers",2020-03-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-110.pdf"
"109","Governor Murphy Suspends All Elective Surgeries, Invasive Procedures to Preserve Essential Equipment and Hospital Capacity",2020-03-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-109.pdf"
"108","Governor Murphy invalidates any county or municipal restriction that in any way will or might conflict with any of the provisions of Executive Order No. 107",2020-03-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-108.pdf"
"107","Governor Murphy directs all residents to stay at home until further notice",2020-03-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf"
"106","Governor Murphy Enacts Moratorium on Removals of Individuals Due to Evictions or Foreclosures",2020-03-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-106.pdf"
"105","Governor Murphy Announces Changes to Upcoming New Jersey Elections in Response to COVID-19",2020-03-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-105.pdf"
"104","Governor Murphy Announces Aggressive Social Distancing Measures to Mitigate Further Spread of COVID-19 in New Jersey",2020-03-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-104.pdf"
"103","Governor Murphy declares a State of Emergency and a Public Health Emergency, effective immediately",2020-03-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-103.pdf"
"102","Governor Murphy Signs Executive Order Establishing Coronavirus Task Force",2020-02-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-102.pdf"
"101","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former State Police Superintendent Colonel Justin J. Dintino",2020-01-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-101.pdf"
"100","Governor Murphy Unveils Energy Master Plan and Signs Executive Order Directing Sweeping Regulatory Reform to Reduce Emissions and Adapt to Climate Change",2020-01-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-100.pdf"
"99","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Assembly Minority Leader and Senator C. Robert Sarcone",2020-01-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-99.pdf"
"98","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Sergeant 1st Class Michael Goble",2020-01-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-98.pdf"
"97","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Buena Vista Mayor Chuck Chiarello",2019-12-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-97.pdf"
"96","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of the Victims of the Jersey City Hate Crime",2019-12-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-96.pdf"
"95","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Newark Councilman and Community Leader Calvin West",2019-12-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-95.pdf"
"94","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Monsignor Philip Lowery",2019-12-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-94.pdf"
"93","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Former Assemblywoman Mary Taylor Previte",2019-11-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-93.pdf"
"92","Governor Murphy Signs Executive Order to Increase Offshore Wind Goal to 7,500 Megawatts by 2035",2019-11-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-92.pdf"
"91","Governor Murphy Signs Executive Order Creating Public Bank Implementation Board",2019-11-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-91.pdf"
"90","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of U.S. Representative Bill Hughes",2019-11-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-90.pdf"
"89","Governor Murphy Signs Executive Order to Establish Statewide Climate Change Resilience Strategy",2019-10-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-89.pdf"
"88","Governor Phil Murphy today ordered that the U.S. and New Jersey flags be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours from Tuesday, October 22, 2019, to Friday, October 25, 2019, in recognition and mourning of a tireless public servant, United States Representative Elijah E. Cummings.",2019-10-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-88.pdf"
"87","Governor Phil Murphy today ordered that the U.S. and New Jersey flags be flown at half-staff at all state buildings and facilities on Monday, October 21, 2019, in recognition of the passing of former Assembly Speaker Bill Hamilton",2019-10-17,"https://nj.gov/infobank/eo/056murphy/pdf/EO-87.pdf"
"86","Governor Murphy Directs the  flag of the United States of America and the flag of New Jersey shall be flown at half-staff in recognition and mourning of a dedicated and tireless public servant, Senator Anthony R. Bucco.",2019-09-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-86.pdf"
"85","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in recognition and mourning of a courageous and loyal American hero, Fireman 3rd Class Harold Kendall “Brud” Costill",2019-09-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-85.pdf"
"84","Executive Order Creating Electronic Smoking Device Task Force",2019-09-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-84.pdf"
"83","Executive Order Uses State's Purchasing and Regulatory Powers to Promote Adoption of Gun Safety Principles by Gun Manufacturers and Retailers",2019-09-10,"https://nj.gov/infobank/eo/056murphy/pdf/EO-83.pdf"
"82","Governor Murphy Orders Flags to Fly at Half-Staff in Observation of 9/11 Anniversary",2019-09-09,"https://nj.gov/infobank/eo/056murphy/pdf/EO-82.pdf"
"81","Takes measures to prevent the risk or appearance that business entities will seek to gain an advantage in obtaining State government contracts for compensated legal services by providing a State agency with legal services on a pro bono basis",2019-09-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-81.pdf"
"80","Directs TRANSIT to Release Monthly Rail Performance Metrics",2019-08-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-80.pdf"
"79","Governor Murphy Signs Executive Order Establishing Council on Offshore Wind",2019-08-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-79.pdf"
"78","Acting Governor Oliver Issues Executive Order to Address Rising Bias Incidents Among Youth",2019-08-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-78.pdf"
"77","Acting Governor Oliver Directs the Lowering of U.S. and New Jersey Flags in Honor of Toni Morrison",2019-08-07,"https://nj.gov/infobank/eo/056murphy/pdf/EO-77.pdf"
"76","Acting Governor Oliver Directs the Lowering of U.S. and New Jersey Flags in Honor of El Paso and Dayton Domestic Terrorist Attack Victims",2019-08-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-76.pdf"
"75","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Justice John Paul Stevens",2019-07-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-75.pdf"
"74","Directs the New Jersey Department of Human Services and the New Jersey Department of Labor and Workforce Development to advance immigrant and refugee integration initiatives, including the design of an Office of New Americans.",2019-07-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-74.pdf"
"73","Governor Phil Murphy Signs Executive Order No. 73 directing the Treasury’s Office of Management and Budget to place up to $235 million in discretionary spending into reserve, which will be monitored by Treasury",2019-06-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-73.pdf"
"72","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Veteran Kevin Yali",2019-06-25,"https://nj.gov/infobank/eo/056murphy/pdf/EO-72.pdf"
"71","Governor Murphy Lifts State of Emergency in Burlington, Camden, and Gloucester Counties",2019-06-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-71.pdf"
"70","Governor Murphy Declares a State of Emergency in Burlington, Camden, and Gloucester Counties.",2019-06-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-70.pdf"
"69","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of West Point Cadet Christopher “C.J.” Morgan",2019-06-11,"https://nj.gov/infobank/eo/056murphy/pdf/EO-69.pdf"
"68","Governor Murphy Signs Executive Order to Continue the New Jersey Hellenic-American Heritage Commission",2019-05-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-68.pdf"
"67","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Private First Class Anthony P. Steitz",2019-05-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-67.pdf"
"66","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Former Senate Minority Leader Thomas Gagliano",2019-04-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-66.pdf"
"65","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of U.S. Army Specialist Nicholas DiMona III",2019-04-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-65.pdf"
"64","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Principal Derrick Nelson of Westfield High School",2019-04-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-64.pdf"
"63","Establishing new regulatory principles to foster economic growth and government efficiency. Rescinds and replaces Governor Christie’s Executive Orders No. 1 (2010) and No. 2 (2010)",2019-04-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-63.pdf"
"62","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of Former Newark Mayor Kenneth Gibson",2019-03-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-62.pdf"
"61","Governor Murphy Signs Executive Order establishing the Task Force on New Jersey’s Plan for Higher Education.",2019-03-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-61.pdf"
"60","The State of Emergency declared in Executive Order No. 59 (2019) is terminated effective at 12:00 p.m., Eastern Standard Time, on March 4, 2019.",2019-03-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-60.pdf"
"59","Declares a state of emergency across all 21 counties in New Jersey, allowing resources to be deployed throughout the state during the duration of the storm.",2019-03-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-59.pdf"
"58","The state of emergency that took effect on Wednesday, February 20, 2019, for all 21 counties in New Jersey will be lifted as of 6:00 a.m. on Thursday, February 21, 2019.",2019-02-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-58.pdf"
"57","Governor Murphy Declares State of Emergency Effective at 5:00 a.m. on February 20, 2019",2019-02-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-57.pdf"
"56","Governor Murphy Lifts State of Emergency Effective at 8:00 a.m.",2019-02-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-56.pdf"
"55","Gov. Phil Murphy declares state of emergency for NJ for Tuesday February 12.",2019-02-11,"https://nj.gov/infobank/eo/056murphy/pdf/EO-55.pdf"
"54","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of trailblazing woman, Barbra Casbar Siperstein",2019-02-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-54.pdf"
"53","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Private First Class Jamie R. Riley",2019-01-30,"https://nj.gov/infobank/eo/056murphy/pdf/EO-53.pdf"
"52","Governor Murphy Signs Executive Order To Form Task Force to Examine Deficiencies of New Jersey’s Tax Incentive Programs",2019-01-24,"https://nj.gov/infobank/eo/056murphy/pdf/EO-52.pdf"
"51","The State of Emergency declared in Executive Order No. 50  is terminated effective at 7:00 a.m. Jan. 21",2019-01-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-51.pdf"
"50","Declares a State of Emergency beginning at noon on Saturday ahead of Winter Storm Harper",2019-01-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-50.pdf"
"49","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Assemblyman Albert S. Burstein",2019-01-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-49.pdf"
"48","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Senator John Dorsey",2018-12-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-48.pdf"
"47","Governor Murphy Directs the Lowering of U.S. and New Jersey Flags in Honor of President George H.W. Bush",2018-12-02,"https://nj.gov/infobank/eo/056murphy/pdf/EO-47.pdf"
"46","Governor Murphy Signs Executive Order establishing the Atlantic City Coordinating Council",2018-11-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-46.pdf"
"45","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Veterans Day and the 100th Anniversary of the End of World War I",2018-11-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-45.pdf"
"44","Directing the New Jersey Cybersecurity and Communications Integration Cell (NJCCIC), Coordinates all cybersecurity efforts necessary to protect infrastructure against cyberattacks.",2018-11-01,"https://nj.gov/infobank/eo/056murphy/pdf/EO-44.pdf"
"43","The flag of the United States of America and the flag of the State of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours from October 30, 2018, through November 4, 2018",2018-10-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-43.pdf"
"42","Governor Murphy Signs Executive Order establishing the  Task Force for the Continued Transformation of Youth Justice in New Jersey",2018-10-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-42.pdf"
"41","Governor Murphy Signs Executive Order Creating the Future of Work Task Force (the “Task Force”) that will evaluate how technological advancements will shape the future of New Jersey’s economy and workforce.",2018-10-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-41.pdf"
"40","Governor Murphy Signs Executive Order Creating NJ State Capital Partnership to Help Aid Trenton’s Revitalization",2018-09-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-40.pdf"
"39","The flag of the United States of America and the flag of the State of New Jersey shall be flown at half-staff at all State departments, offices, agencies, instrumentalities, and all public buildings during appropriate hours on Friday, September 14",2018-09-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-39.pdf"
"38","The flag of the United States of America and the flag of the State of New Jersey shall be flown at half-staff at all State departments, offices, agencies, instrumentalities, and all public buildings during appropriate hours on Tue., Sept. 11, 2018",2018-09-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-38.pdf"
"37","The State of Emergency declared in Executive Order No. 33 (2018) is terminated effective at 2:00 p.m., Eastern Standard Time, on September 4, 2018.",2018-09-04,"https://nj.gov/infobank/eo/056murphy/pdf/EO-37.pdf"
"36","The flag of the United States of America and the flag of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours from Tuesday.....",2018-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-36.pdf"
"35","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Senator John McCain",2018-08-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-35.pdf"
"34","Governor Murphy Signs Executive  to protect black bears on lands controlled by the State of New Jersey",2018-08-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-34.pdf"
"33","Governor Murphy Signs Executive Order Declaring State of Emergency in Flood-Impacted Counties",2018-08-14,"https://nj.gov/infobank/eo/056murphy/pdf/EO-33.pdf"
"32","Governor Murphy orders DOH to install a monitor to review expenditures and assess the level of care provided at University Hospital in Newark",2018-07-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-32.pdf"
"31","Governor Murphy Formally Creates State Health Benefits Quality and Value Task Force, Appoints Commissioner Carole Johnson as Chair",2018-07-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-31.pdf"
"30","The flag of the United States of America and the flag of the State of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours on Tuesday, July 10, 2018, in recognition and mo",2018-07-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-30.pdf"
"29","Orders and directs that no State entity may use any state resources for the purpose of separating any child from his or her parent or legal guardian on the sole ground that such child, parent, or legal guardian is present in the United States in viol",2018-06-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-29.pdf"
"28","Governor Murphy Signs Measures to Advance New Jersey’s Clean Energy Economy",2018-05-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-28.pdf"
"27","The flag of the United States of America and the flag of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours on Tuesday, May 29, 2018, in recognition and mourning of a br",2018-05-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-27.pdf"
"26","Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of the Victims of the Route 80 Bus Accident",2018-05-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-26.pdf"
"25","Establishing Task Force on Employee Misclassification",2018-05-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-25.pdf"
"24","The flag of the United States of America and the flag of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours when the General Assembly returns to session on Monday, May 7",2018-04-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-24.pdf"
"23","Addresses Environmental Justice Issues in New Jersey’s Urban Communities",2018-04-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-23.pdf"
"22","The flag of the United States of America and the flag of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours on Thursday, April 19, 2018",2018-04-18,"https://nj.gov/infobank/eo/056murphy/pdf/EO-22.pdf"
"21","Governor, Attorney General Announce Actions to Keep Public Informed About Gun Crimes, Sources of Weapons",2018-04-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-21.pdf"
"20","Governor Murphy Directs New Jersey Flags to Fly at Half-Staff for the 50th Anniversary of Dr. Martin Luther King, Jr.'s Assassination",2018-04-03,"https://nj.gov/infobank/eo/056murphy/pdf/EO-20.pdf"
"19","Governor Murphy Signs Executive Order Allowing Youth Volunteers to Help Sandy Recovery Efforts",2018-03-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-19.pdf"
"18","Declare the State of Emergency declared on March 20, 2018 has been lifted",2018-03-26,"https://nj.gov/infobank/eo/056murphy/pdf/EO-18.pdf"
"17","Declares a State of Emergency exists throughout the State of New Jersey, effective at 7:00 p.m., Eastern Daylight Time, on March 20, 2018",2018-03-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-17.pdf"
"16","Executive Order No. 16 formally reaffirms the importance of the Judicial Advisory Panel and continuing its role in the Governor’s process of nominating judges to New Jersey’s state courts.",2018-03-20,"https://nj.gov/infobank/eo/056murphy/pdf/EO-16.pdf"
"15","The State of Emergency declared in Executive Order No. 14 (2018) is terminated effective at 10:00 a.m., Eastern Daylight Time, on March 13, 2018.",2018-03-13,"https://nj.gov/infobank/eo/056murphy/pdf/EO-15.pdf"
"14","Declares the state emergency across all 21 counties in the state, and allows for the extension of resources into other parts of the state as the storm continues to impact New Jersey.",2018-03-06,"https://nj.gov/infobank/eo/056murphy/pdf/EO-14.pdf"
"13","New Jersey flags be flown at half-staff at all state buildings and facilities on Friday, March 2, 2018. The flags will be lowered in memory of former three-time Mayor of Nutley and New Jersey State Senate President Carmen A. Orechio.",2018-02-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-13.pdf"
"12","Established a Governor’s Jobs and Economic Opportunity Council.",2018-02-27,"https://nj.gov/infobank/eo/056murphy/pdf/EO-12.pdf"
"11","The flag of the United States of America and the flag of the State of New Jersey shall be flown at half-staff at all State departments, offices, agencies, and instrumentalities during appropriate hours on Tuesday, February 20, 2018, in recognition an",2018-02-15,"https://nj.gov/infobank/eo/056murphy/pdf/EO-11.pdf"
"10","Established the Commission on Puerto Rico Relief.",2018-02-12,"https://nj.gov/infobank/eo/056murphy/pdf/EO-10.pdf"
"9","Requires that all future contracts for Internet, data, and telecommunications (“Internet and broadband”) be awarded only to ISPs that adhere to “net neutrality” principles.",2018-02-05,"https://nj.gov/infobank/eo/056murphy/pdf/EO-9.pdf"
"8","Promotes Offshore Wind Energy",2018-01-31,"https://nj.gov/infobank/eo/056murphy/pdf/EO-8.pdf"
"7","Directs New Jersey to Reenter the Regional Greenhouse Gas Initiative",2018-01-29,"https://nj.gov/infobank/eo/056murphy/pdf/EO-7.pdf"
"6","Mandating Review of New Jersey’s Medical Marijuana Policy",2018-01-23,"https://nj.gov/infobank/eo/056murphy/pdf/EO-6.pdf"
"5","The Commissioner of Transportation, who also serves as Chair of the NJ Transit Board, shall engage and direct one or more independent consultants to conduct a comprehensive strategic, financial and operational assessment of NJ Transit",2018-01-22,"https://nj.gov/infobank/eo/056murphy/pdf/EO-5.pdf"
"4","Ensure that every New Jerseyan has access to affordable health insurance",2018-01-21,"https://nj.gov/infobank/eo/056murphy/pdf/EO-4.pdf"
"3","The Office of the State Comptroller (“State Comptroller”) shall conduct a complete performance audit of the Grow New Jersey Assistance Program and the Economic Redevelopment and Growth Grant Program, and predecessor programs, from 2010 onward.",2018-01-19,"https://nj.gov/infobank/eo/056murphy/pdf/EO-3.pdf"
"2A","Code of Conduct for the Governor",2018-01-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-2A.pdf"
"2","Outlining Ethics and Standards",2018-01-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-2.pdf"
"1","Promoting Equal Pay, Gender Equity",2018-01-16,"https://nj.gov/infobank/eo/056murphy/pdf/EO-1.pdf"
